,PMID,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
29,15731666,Embase,Evaluation of a new measurement tool for facial paralysis reconstruction,"Evaluation of facial movement, including distance and direction, is essential for anyone interested in facial paralysis reconstruction. The authors' goal was to develop a measurement system that is simple, uses commercially available equipment, takes little time, and provides meaningful and accurate measurements. This technique is called the facial reanimation measurement system. It involves placing dots around the patient's mouth and video recording the patient performing maximal effort smiles. Using a video editing program, one frame showing the patient at rest is overlaid with a second frame showing the patient's smile. This overlaid image is imported into Adobe PhotoShop, where measurements are obtained using tools available in the program. Twenty patients were used to test interrater and intrarater reliability of the facial reanimation measurement system. The accuracy of the measurement process was tested by comparing 10 known distances and angles with those obtained using the facial reanimation measurement system. Both intrarater and interrater reliability of the distance and angle measurements are highly accurate, with intraclass correlations greater than 0.9. The facial reanimation measurement system is accurate to within 0.6 mm and 2.0 degrees when compared with a ""known"" distance and angle. The facial reanimation measurement system has been used to measure smile movements of more than 200 patients and has been demonstrated to be valuable for detecting changes of facial movements over time. This system is simple and economical and only requires 20 minutes to perform. Although the authors demonstrated evaluation of smile movement, the system may be used to evaluate other movements, such as mouth puckering, eye closure, and forehead elevation.",0,,0,0,0.0,2,1,2,0,10.1097/01.PRS.0000152431.55774.7E,Plastic and Reconstructive Surgery (2005) 115:3 (696-704). Date of Publication: March 2005,"Tomat L.R., Manktelow R.T.",2005,15731666,,20.0,,,,,,,,,,no nerve transfer,,,,,,
30,16217461,Embase,Selective marginal mandibular neurectomy for treatment of the marginal mandibular lip deformity in patients with chronic unilateral facial palsies,"Background: For unilateral facial palsies, reanimation techniques such as cross-facial nerve grafting with free muscle transfer have been very successful at improving symmetrical lip elevation when smiling. However, these procedures do not address the residual asymmetry with respect to lip depression resulting from an uncorrected marginal mandibular nerve palsy. Techniques that do address this residual lip asymmetry have had variable results. Selective neurectomy of the unaffected marginal mandibular nerve has largely been abandoned as a treatment since it has been reported to result in severe oral functional and cosmetic deficiencies. The authors argue that selective marginal mandibular neurectomy is a reliable technique for treatment of the marginal mandibular lip deformity that does not compromise oral functionality. Methods: Thirteen patients with unilateral facial palsies underwent selective marginal mandibular neurectomy of the unaffected side; the procedure was performed by the principal investigator. These patients were then evaluated on the basis of symmetry with smiling and oral functionality. Twelve of the patients were contacted and questioned with a standardized questionnaire. Twelve of the patients were evaluated independently for symmetry with smiling using randomized preoperative and postoperative photographs. Results: Eleven of the 12 patients reported either improvement or no change in oral competence. Ten of the 12 patients reported either improvement or great improvement in symmetry with smiling. Improvement in symmetry with smiling was independently observed 77.2 percent of the time. Conclusion: These results support selective marginal mandibular neurectomy of the unaffected side in patients with unilateral facial palsies as a means of improving symmetry with smiling without compromising functionality.",0,,0,0,9.0,9,8,1,0,10.1097/01.prs.0000182219.40800.56,Plastic and Reconstructive Surgery (2005) 116:5 (1223-1232). Date of Publication: October 2005,"Breslow G.D., Cabiling D., Kanchwala S., Bartlett S.P.",2005,16217461,"tools: questionnaire and photos
neg: cosmetic and functional",12.0,,,29.1,5.0,59.0,,,,,no nerve transfer,,,,,,
31,16641724,Embase,One-stage reanimation of the paralyzed face using the rectus abdominis neurovascular free flap,"BACKGROUND: Functional free muscle transfer for the surgical correction of long-standing facial paralysis has gained validity over the past three decades. These traditionally multistep reconstructions often achieve clinical success, but at the cost of significant morbidity and lengthy recovery periods. To address this dilemma, the authors propose reconstruction using the rectus abdominis and accompanying intercostal nerve in a one-stage neurovascular free flap reanimation procedure. METHODS: Between 1998 and 2001, five patients with long-standing unilateral facial paralysis at the University of Pittsburgh Facial Nerve Center underwent reanimation using the authors' protocol. Preoperative and postoperative assessments included clinical evaluation using the Facial Grading System and electromyography. The patients were followed for a mean of 16 months. RESULTS: At the final postoperative visit, all five patients demonstrated improved levator electromyographic potential, with a median 67 percent improvement. All five patients further demonstrated an increase in zygomaticus electromyographic potential, with a median 225 percent improvement. All five patients demonstrated increased Facial Grading System score at most recent follow-up. CONCLUSIONS: The one-step reanimation using free rectus abdominis neurovascular free flap demonstrated a consistent positive outcome in electromyographic and clinical assessments. The additional benefits of reduced recovery time and anatomical reliability of the flap render the authors' method preferable to other traditional methods of surgical reanimation of the paralyzed face. Copyright ¬©2006 by the American Society of Plastic Surgeons.",0,,2,0,0.0,9,8,3,0,10.1097/01.prs.0000206378.90174.6b,Plastic and Reconstructive Surgery (2006) 117:5 (1553-1559). Date of Publication: 15 Apr 2006,"Sajjadian A., Song A.Y., Khorsandi C.A., Deleyiannis F.W.B., VanSwearingen J.M., Henkelmann T.C., Hui K., Manders E.K.",2006,16641724,"smile, facial movement, preop/postop 
facial grading system and EMG",5.0,4.0,8.0,,10.99,64.0,16.0,,,,no nerve transfer,,,['Rectus abdominis flap'],Rectus abdominis flap,,
32,16749192,Embase,One-stage reconstruction of facial paralysis associated with skin/soft tissue defects using latissimus dorsi compound flap,"Neurovascular free muscle transfer is now the mainstay for smile reconstruction in the treatment of established facial paralysis. Since facial paralysis due to ablative surgery or some specific disease sometimes accompanies defects of the facial skin and soft tissue, simultaneous reconstruction of defective tissues with facial reanimation is required. The present paper reports results for 16 patients who underwent reconstruction by simultaneous soft tissue flap transfer with latissimus dorsi muscle for smile reconstruction of the paralysed face. Soft tissue flaps comprised skin paddle overlying the latissimus dorsi muscle (n=6), serratus anterior musculocutaneous flap (n=5), serratus anterior muscle flap (n=2), and latissimus dorsi perforator-based flap with a small muscle cuff (n=3). The latissimus dorsi muscle can be elevated as a compound flap of various types, and thus offers the best option as a donor muscle for facial reanimation when soft tissue defects require simultaneous reconstruction. ¬© 2005 The British Association of Plastic Surgeons.",0,,2,1,0.0,9,4,1,0,10.1016/j.bjps.2005.10.011,"Journal of Plastic, Reconstructive and Aesthetic Surgery (2006) 59:5 (465-473). Date of Publication: May 2006","Takushima A., Harii K., Asato H., Momosawa A., Okazaki M.",2006,16749192,,16.0,7.0,,41.0,13.0,71.0,7.0,24.0,",Other free flap type:serratus anterior muscle,","atissimus dorsi muscle (n=6), serratus anterior musculocutaneous flap (n=5), serratus anterior muscle flap (n=2),",no nerve transfer,,,"['Serratus anterior muscle flap', 'Latissimus dorsi flap']",Serratus anterior,Latissimus dorsi flap,
33,17077874,Pub-med,Direct Facial-to-Hypoglossal Neurorrhaphy with Parotid Release,"Objective: Facial nerve paralysis or compromise can be caused by lesions of the temporal bone and cerebellopontine angle and their treatment. When the facial nerve is transected or severely compromised and primary end-to-end repair is not possible, hypoglossal-facial nerve anastomosis remains the most popular method for accomplishing three main goals: restoring facial tone, restoring facial symmetry, and facilitating return of voluntary facial movement. Our objectives are to evaluate the surgical feasibility and long-term outcomes of our technique of direct facial-to-hypoglossal neurorrhaphy with a parotid-release maneuver. Design: Prospective cohort. Setting: Academic tertiary care referral center. Patients: Ten patients with facial paralysis from proximal nerve injury underwent the facial-hypoglossal neurorrhaphy with a parotid-release maneuver. Main outcome measures: The Repaired Facial Nerve Recovery Scale, questionnaires, and photographs. Results: Facial-hypoglossal neurorrhaphy with parotid release was technically feasible in all cases, and anastomosis was performed distal to the origin of the ansa hypoglossi. All patients had good return of facial nerve function. Nine patients had scores of C or better, indicating strong eyelid and oral sphincter closure and mass motion. There was no hemilingual atrophy and no subjective tongue dysfunction. Conclusions: The parotid-release maneuver mobilizes additional length to the facial nerve, facilitating a tensionless communication distal to the ansa hypoglossi. The technique is a viable option for facial reanimation, and our patients achieved good clinical outcomes with continual improvement.",3,,0,0,2.0,1,9,1,0,10.1055/s-2006-934111,Skull Base. 2006 May;16(2):101-8. doi: 10.1055/s-2006-934111.,"Roland JT Jr, Lin K, Klausner LM, Miller PJ.",2006,17077874,"The Repaired Facial Nerve Recovery Scale, questionnaire,facial stiffness and eye dryness",10.0,8.0,,,13.0,58.0,11.0,48.0,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
34,17638756,Pub-med,Temporalis tendon transfer as part of a comprehensive approach to facial reanimation,"Objective: To report an approach to facial paralysis in patients for whom dynamic adjacent muscle transfer is determined to be the best treatment option. Methods: Retrospective review of 7 consecutive patients who underwent orthodromic transfer of the temporalis muscle insertion for the treatment of long-standing facial paralysis. Patients underwent facial-retraining physical therapy before and shortly after the procedure. Outcomes measured included patient satisfaction, objective measurements of oral commissure elevation with smiling, and physician grading of preoperative and postoperative patient photographs. Medical records were reviewed for complications. Results: Patient satisfaction was high, with a mean score of 8.5 (possible score of 10). Four patients were physician graded as excellent to superb. The other 3 patients were rated as having good postoperative results. Movement was identified in every patient and ranged from 1.6 to 8.5 mm, with mean movement of the oral commissure of 4.2 mm. One patient developed postoperative salivary fluid collection that required drainage. Conclusions: Temporalis tendon transfer is a relatively easy procedure to perform that has distinct advantages compared with other forms of facial reanimation and provides very good results. This procedure results in improved form and function, may often be performed in a minimally invasive manner, and eliminates the facial asymmetry typically produced by temporalis transfer.",0,,0,3,10.0,9,8,3,0,10.1001/archfaci.9.4.234,Arch Facial Plast Surg. 2007 Jul-Aug;9(4):234-41. doi: 10.1001/archfaci.9.4.234.,"Byrne PJ, Kim M, Boahene K, Millar J, Moe K.",2007,17638756,"Tools: self-evaluation of results by the patients, mesaurements of oral commissure Positive Outcomes: movement, patient satisfaction temporalis tendon transfer Negative Outcomes: postoperative salivary fluid collection",7.0,,,,,,,,,,no nerve transfer,,,,,,
35,18188778,Embase,"Facial reanimation by transposition of the masseter muscle combined with tensor fascia lata, using the zygomatic arch as a pulley","We have created a new way of reanimating the face, involving transposition of the masseter muscle combined with tensor fascia lata, and using the zygomatic arch as a trochlea to reconstruct the inferior facial paralysis. We used it on five patients who had facial palsy after excision of malignant parotid tumours. The wide skin defect that exposed the masseter muscle after total parotidectomy was reconstructed with a free flap. This method differs from those of other methods of transposing the masseter muscle in that force is applied at an upper lateral angle. Our method provided dynamic raising of the upper lip, the corner of the mouth, and the nasolabial fold in four patients. We consider it to be useful, particularly for prompt surgical reconstruction of facial palsy after total parotidectomy with a wide defect in the skin of the cheek.",0,,0,1,3.0,9,4,1,0,10.1080/02844310701694423,Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery (2008) 42:1 (17-22). Date of Publication: 2008,"Shinohara H., Matsuo K., Osada Y., Kawamura T., Tanaka Y.",2008,18188778,smile and commisure excursion,5.0,10.0,,65.0,59.0,72.0,10.29,21.0,",Other free flap type:fascia lata,",,no nerve transfer,,,,,,
36,18470830,Pub-med,Free tissue transfer for the treatment of facial paralysis,"Long-standing facial paralysis requires the introduction of viable, innervated dynamic muscle to restore facial movement. The options include regional muscle transfer and microvascular free tissue transfer. There are advantages and disadvantages of each. Briefly, the regional muscle transfer procedures are reliable and provide immediate return of movement. However, the movement is not of a spontaneous mimetic nature. Free tissue transfer, in contrast, offers the possibility of synchronous, mimetic movement. It does, however, require a prolonged healing time in comparison with that of regional muscle transfer. The choice is made by physician and patient together, taking into account their preferences and biases. Muscle-alone free tissue transfer is our preferred option for reanimation of uncomplicated facial paralysis without skin or soft tissue deficits. Combined muscle and other tissue (most are skin flap) is another preferred option for more challenging complex facial paralysis with skin or soft tissue deficits after tumor excision. Gracilis flap is the author's first choice of muscle transplantation for both reconstructions. From 1986 to 2006, gracilis functioning free muscle transplantation (FFMT) was performed at Chang Gung Memorial Hospital for facial reanimation in 249 cases of facial paralysis. The main etiology is postoperative complication and Bell's palsy. The innervating nerve comes mostly from contralateral facial nerve branches, few from ipsilateral facial nerve due to tumor ablation, and from ipsilateral motor branch to masseter or spinal accessory nerve due to M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome. We have evolutionally used a short nerve graft (10 to 15 cm) to cross the face in the first stage; after a 6- to 9-month waiting period, gracilis FFMT was performed for the second stage of the reconstruction. The technique of evolution has shown encouraging results to achieve the goal of rapid restoration and fewer scars on the donor leg.",0,,0,0,9.0,7,4,1,0,10.1055/s-2008-1075834,Facial Plast Surg. 2008 May;24(2):194-203. doi: 10.1055/s-2008-1075834.,Chuang DC.,2008,18470830,,249.0,4.0,5.94,,,,2.0,24.0,Multiple nerve grafts:nerve graft,,no nerve transfer,,,,,,
37,18797361,Pub-med,Hemihypoglossal-facial neurorrhaphy after mastoid dissection of the facial nerve: results in 24 patients and comparison with the classic technique,"Objective: Hypoglossal-facial neurorrhaphy has been widely used for reanimation of paralyzed facial muscles after irreversible proximal injury of the facial nerve. However, complete section of the hypoglossal nerve occasionally results in hemiglossal dysfunction and interferes with swallowing and speech. To reduce this morbidity, a modified technique with partial section of the hypoglossal nerve after mastoid dissection of the facial nerve (HFM) has been used. We report our experience with the HFM technique, retrospectively comparing the outcome with results of the classic hypoglossal-facial neurorrhaphy. Methods: A retrospective review was performed in 36 patients who underwent hypoglossal-facial neurorrhaphy with the classic (n = 12) or variant technique (n = 24) between 2000 and 2006. Facial outcome was evaluated with the House-Brackmann grading system, and tongue function was evaluated with a new scale proposed to quantify postoperative tongue alteration. The results were compared, and age and time between nerve injury and surgery were correlated with the outcome. Results: There was no significant difference between the two techniques concerning facial reanimation. A worse outcome of tongue function, however, was associated with the classic technique (Mann-Whitney U test; P < 0.05). When HFM was used, significant correlations defined by the Spearman test were identified between preoperative delay (rho = 0.59; P = 0.002) or age (rho = 0.42; P = 0.031) and results of facial reanimation evaluated with the House-Brackmann grading system. Conclusion: HFM is as effective as classic hypoglossal-facial neurorrhaphy for facial reanimation, and it has a much lower morbidity related to tongue function. Better results are obtained in younger patients and with a shorter interval between facial nerve injury and surgery.",3,,0,0,5.0,9,2,1,0,10.1227/01.NEU.0000312387.52508.2C,Neurosurgery. 2008 Aug;63(2):310-6; discussion 317. doi: 10.1227/01.NEU.0000312387.52508.2C.,"Martins RS, Socolovsky M, Siqueira MG, Campero A.",2008,18797361,,36.0,,,45.4,23.0,69.0,8.0,38.0,,,Hypoglossal nerve transfer,,,,,,
38,18842469,Embase,Masseteric-facial nerve coaptation - an alternative technique for facial nerve reinnervation,"Background: Reinnervation of the facial musculature when there is loss of the proximal facial nerve poses a difficult clinical problem. Restoration of spontaneous mimetic motion is the aim and, to this end, the use of cross-facial nerve grafts has long been considered the reconstruction of choice. The nerve to masseter has been used very successfully for reinnervation of microvascular functioning muscle transfers for facial reanimation in established facial palsy but its use as a direct nerve transfer to the facial nerve to reinnervate 'viable' facial musculature has been scarce. Methods: Electron micrographic studies of axonal counts in the nerve to masseter and nerve to gracilis in a clinical series of seven patients undergoing surgery for facial nerve palsy were made. Based on these results, and previous success with the use of the nerve to masseter for reinnervation of free gracilis transfers, we report our experience with the transfer of the nerve to masseter for direct coaptation with the ipsilateral facial nerve to restore facial motion. Results: Our axonal counts of the nerve to masseter have, on average, 1542 ¬± 291.70 (SD) axons. Historical data have shown that the buccal branch of the facial nerve has 834 ¬± 285 (SD) where the distal end of a cross-facial nerve graft has 100 to 200 axons. Our clinical use of the nerve to masseter as a direct nerve transfer in three patients based on these data has resulted in significant improvement in facial symmetry in repose (at a minimum of 1 year follow up), restoration of facial motion with occasional spontaneous activity and minimal synkinesis without any donor morbidity. Conclusions: The advantages of this technique include the ease of dissection, constant and reliable anatomy, powerful reinnervation of the facial muscles without donor site morbidity and the potential for return of spontaneous facial movement. Crown Copyright ¬© 2008.",1,,1,3,1.0,9,4,1,0,10.1016/j.bjps.2008.05.046,"Journal of Plastic, Reconstructive and Aesthetic Surgery (2009) 62:12 (1580-1588). Date of Publication: December 2009","Coombs C.J., Ek E.W., Wu T., Cleland H., Leung M.K.",2009,18842469,,3.0,6.0,,18.2,4.0,53.0,12.0,,,,Cross-facial nerve transfer,,,,,,
39,19050488,Embase,Uses of the superficial temporal fascial flap in facial paralysis,"BACKGROUND: The superficial temporal fascia merits its popularity in reconstructive surgery for its large number of clinical applications. In this report, the authors present their experience with different uses of the superficial temporal fascial flap in facial reanimation. METHODS: Seventeen cases are presented. In 10 patients, the fascial flap provided a vascularized lining at the interface between the free muscle flap for smile restoration and the overlying skin. In six cases, it was utilized to correct small or moderate contour deficits in the paretic hemiface, using either the fascial flap alone or in combination with free adipose tissue. One patient presented with facial paralysis and Frey syndrome following parotidectomy, and the fascial flap was used to control gustatory sweating. Five independent observers graded aesthetic and functional outcomes on a scale from poor to excellent. Three patients were lost to follow-up, so 14 cases were evaluated. RESULTS: Follow-up ranged from 1 to 216 months (47 ¬± 60.49 months). The specific reconstructive goal for each patient was achieved and the overall symmetry was greatly improved, with all patients being granted higher scores by the panel of observers following the superficial fascia flap (Wilcoxon matched-pairs signed ranks, p < 0.0001). Transient or permanent alopecia along the temporal incision was the main complication observed. CONCLUSIONS: Transfer of the superficial temporal fascia flap is a valuable technique with several potential applications in facial paralysis management and reconstructive surgery in general. The advantages of this highly vascularized, gliding, and pliable flap far outweigh the associated minimal complications. ¬© 2008 by the American Society of Plastic Surgeons.",0,,2,0,10.0,9,2,1,0,10.1097/PRS.0b013e31818dc012,Plastic and Reconstructive Surgery (2008) 122:6 (176e-185e). Date of Publication: December 2008,"Terzis J.K., Olivares F.S.",2008,19050488,"neg: Transient or permanent alopecia along the temporal incision 
tool: Terzis Facial Grading System",16.99,6.0,,18.6,3.0,46.0,1.0,216.0,,,no nerve transfer,,,['Fascia flap'],Fascia lata,,
40,19050523,Pub-med,Three-dimensional video analysis of the paralyzed face reanimated by cross-face nerve grafting and free gracilis muscle transplantation: quantification of the functional outcome,"Background: Surgeons have found it difficult to quantify facial paralysis and its improvement by reconstructive surgery. This article presents the results achieved by free functional muscle transplantation for reconstruction of the paralyzed face, registered by three-dimensional video analysis of facial movements. Methods: Of patients treated consecutively between 1997 and 2006, two groups were constituted: group 1 comprised 22 patients with reinnervation completed after a single cross-face nerve graft and a free gracilis muscle graft for reconstruction of the smile; group 2 comprised nine patients treated with two cross-face nerve grafts followed by a territorially differentiated gracilis muscle transplant for reconstruction of the smile and eye closure. Smiling with showing teeth, maximal showing of teeth, and closing the eyes as in sleep were analyzed in detail. Results: In group 1, static asymmetry was reduced from 12.19 +/- 8.73 mm preoperatively to -1.84 +/- 7.67 mm at 18 months postoperatively. Smile amplitude increased from 9 to 60 percent of that on the healthy side in 10 incomplete facial palsies of this group, and from 0 to 62 percent in eight functionally successful muscle grafts among 11 patients with complete lesions. In group 2, static asymmetry improved from 7.24 +/- 12.64 mm to -5.36 +/- 9.07 mm; the overcorrection was intentional. Movement was improved in eight cases. Smile amplitude reached 68 +/- 43 percent of that on the normal side. Lagophthalmus improved from 7.21 +/- 3.59 mm to 1.38 +/- 2.49 mm. All improvements were statistically significant (p <or= 0.05). Conclusions: Three-dimensional video analysis provided an exact quantitative documentation of the degree of facial palsy preoperatively and the reconstructed movements. The value of free functional gracilis muscle transplantation was demonstrated for both variations of the technique.",1,,1,0,0.0,9,4,1,0,10.1097/PRS.0b013e31818a9a8d,Plast Reconstr Surg. 2008 Dec;122(6):1709-1722. doi: 10.1097/PRS.0b013e31818a9a8d.,"Frey M, Michaelidou M, Tzou CJ, Pona I, Mittlb‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°ck M, Gerber H, St‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†¬¥ssi E.",2008,19050523,"Tools: clinical evaluation Outcomes: smiling, eye closure, symmetry,",31.0,6.0,18.0,41.7,32.42,50.98,6.0,24.0,,,Cross-facial nerve transfer,,,,,,
41,19050524,Embase,Use of mini-temporalis transposition to improve free muscle outcomes for smile,"BACKGROUND: In managing late facial paralysis, association of cross-facial nerve grafting and free muscle transfer proves superior to any other method of mid-face reanimation. Nevertheless, predicting functional recovery remains a struggle, and in a minority of patients, results are deceiving. In this study, cases of fair or moderate outcomes from a free muscle transfer received a segmental temporalis transposition to upgrade the functional and aesthetic results. METHODS: From 1981 to 2007, 153 patients received a free muscle transfer for smile restoration in the authors' center. Of all patients, 72 percent (110 patients) required a third stage of revisions. In 41 cases, mini-temporalis transfer was used to augment moderate outcomes of a free muscle transfer. The exclusion criterion was less than 3 months' follow-up; thus, six patients were not evaluated. Each patient was videotaped at three successive time points (preoperatively, following free muscle transfer, and following mini-temporalis transfer). Five independent observers graded patients' videos using a five-category scale from poor to excellent. RESULTS: In all of the patients, the averaged scores were higher after free muscle transfer in comparison with the preoperative scores (Wilcoxon signed rank test, p < 0.0001). After mini-temporalis transfer, 97.1 percent of the patients had scores that were increased further and 2.8 percent had the same scores. Alopecia along the coronal incision was seen in four patients, and hollowing of the infratemporal fossa was seen in five. CONCLUSION: Analysis of these clinical data supports the use of mini-temporalis transfer as a safe and reliable method of correcting imperfect outcomes following a free muscle transfer for smile restoration. ¬© 2008 by the American Society of Plastic Surgeons.",0,,2,1,9.0,9,2,1,0,10.1097/PRS.0b013e31818a9adc,Plastic and Reconstructive Surgery (2008) 122:6 (1723-1732). Date of Publication: December 2008,"Terzis J.K., Olivares F.S.",2008,19050524,"neg: Alopecia along the coronal incision, hollowing of the infratemporal fossa
pos: symmetry and contraction",35.0,0.0,0.0,22.8,6.0,60.0,3.0,228.0,,,no nerve transfer,,,gracilis,Pectoralis minor,latissimus dorsi,rectus abdominis
42,19319050,Pub-med,"The ""babysitter"" procedure: minihypoglossal to facial nerve transfer and cross-facial nerve grafting","Background: In 1984, Terzis introduced the ""babysitter"" procedure, a new concept in facial reanimation. It involves two stages, with coaptation of ipsilateral 40 percent hypoglossal to facial nerve on the affected side, performed concomitantly with cross-facial nerve grafting and secondary microcoaptations 8 to 15 months later. This article presents the senior author's (J.K.T.) experience with the original procedure. Methods: Of 75 patients who had minihypoglossal nerve transfer, 20 fulfilled the selection criteria for the original babysitter procedure. All patients' records, photographs, videotapes, and needle electromyography studies were reviewed. The clinical results were scored using Terzis' Grading Scale. Eye closure, smile, and lower lip depression were each assessed separately. Functional and aesthetic outcomes and preoperative and postoperative electromyography results were analyzed. Results: Seventy-five percent of patients achieved excellent and good results, 15 percent had moderate results, and 10 percent had fair results. The difference between preoperative and postoperative eye closure was statistically significant (t test, p < 0.001). Symmetrical smile and full contraction (excellent result) was achieved in two patients (10 percent), 13 patients (65 percent) had nearly symmetrical smile (good result), and five patients (25 percent) had a moderate result. Two patients (10 percent) had full lower lip depression (excellent result) and 15 (75 percent) had good results. In three patients (15 percent), subsequent digastric or platysma muscle transfer was performed because of inadequate depression and symmetry (moderate result). A statistically significant difference was observed between preoperative and postoperative electromyography results, in eye closure, smile, and lower lip depression. Conclusions: The original babysitter procedure offers significant improvement in selected patients with facial paralysis. Symmetry and coordinated movements can be restored, with satisfying aesthetic and functional outcomes.",4,,2,1,0.0,9,6,2,0,10.1097/PRS.0b013e31819ba4bb,Plast Reconstr Surg. 2009 Mar;123(3):865-876. doi: 10.1097/PRS.0b013e31819ba4bb.,"Terzis JK, Tzafetta K.",2009,19319050,,20.0,0.0,0.0,29.0,5.0,53.0,3.0,24.0,"Multiple nerve grafts:cross-facial,hypoglossal",,Cross-facial nerve transfer,Hypoglossal nerve transfer,,['Platysma flap'],Platysma flap,,
43,19319051,Embase,Long-term outcomes of free-muscle transfer for smile restoration in adults,"BACKGROUND:: The cross-facial nerve grafting/free-muscle transfer strategy for smile restoration is superior to static reconstruction or regional muscle transposition. The purpose of this study was to evaluate the long-term outcomes of this technique in adult patients. METHODS:: Eighty-one adult patients received a free-muscle transfer for midface reanimation in the authors' center. Of this group, the authors identified 24 cases with follow-up of 5 years or longer. Smile symmetry and function were evaluated at three points: preoperatively, early postoperatively, and at long-term follow-up. To better evaluate the effect of time, patients were divided into groups according to the length of follow-up: group A, 5 to 6 years; group B, 7 to 10 years; group C, 11 to 15 years; and group D, more than 15 years. Four independent observers rated each patient's smile using a five-category scale ranging from poor to excellent. Panelists were asked to comment on whether the patient's smile weakened over time. RESULTS:: All patients obtained higher scores at 2 years from free-muscle transfer in comparison with their preoperative rates (p < 0.0001). Late outcomes demonstrated that muscle regeneration continues beyond the initial 2 years, with a further increase of the scores and motor units on electromyography at the late follow-up (p < 0.0001, p = 0.0313). No significance was found when comparing both variables among the four groups, indicating that time does not have a differential effect on muscle function. In 80 percent of the evaluations, the four observers agreed on maintained smile symmetry over time. CONCLUSIONS:: Cross-facial nerve grafting/free-muscle transfer is an effective technique for smile restoration in late facial paralysis. These data indicate maintenance of effective muscle function and progressive improvement with time. Copyright ¬© 2009 by the American Society of Plastic Surgeons.",1,,2,1,9.0,9,2,1,0,10.1097/PRS.0b013e31819ba316,Plastic and Reconstructive Surgery (2009) 123:3 (877-888). Date of Publication: March 2009,"Terzis J.K., Olivares F.S.",2009,19319051,"neg: flap failure, temporary paraesthesia",24.0,,,,,,,,,,Cross-facial nerve transfer,,,rectus abdominis,,,
44,19559974,Pub-med,Bilateral simultaneous free gracilis muscle transfer: a realistic option in management of bilateral facial paralysis,"Objectives: Bilateral facial paralysis patients have oral incompetence, poor articulation, and dental caries. This problem is frequently addressed by performing staged gracilis transplants without specific oral sphincter reconstruction. The purpose of this study is to describe the technique of bilateral simultaneous free gracilis muscle transfer with oral sphincter reconstruction, for one-stage facial reanimation in patients with bilateral facial paralysis. Study design: Case series. Methods/results: One-stage bilateral gracilis transfer was performed in three patients with bilateral facial paralysis. Muscle transplants produced a meaningful smile in all transferred muscles. All patients reported improved speech and decreased drooling. Conclusions: Bilateral gracilis transplants with reconstruction of the oral commissure is a realistic option in management of the bilaterally paralyzed face. In this small series, it appears to improve oral competence, restore smiling, and contribute favorably to lower lip support. This technique has been made more feasible because the operative time for free tissue transfer has continuously declined with the use of two-team surgery, improved microsurgical techniques, and the advent of venous coupling devices.",0,,1,0,0.0,9,4,1,0,10.1016/j.otohns.2009.03.005,Otolaryngol Head Neck Surg. 2009 Jul;141(1):139-41. doi: 10.1016/j.otohns.2009.03.005.,"Lindsay RW, Hadlock TA, Cheney ML.",2009,19559974,"Tools: clinical evaluation Outcomes: smile, oral competence, lower lip support",3.0,2.0,6.0,25.67,10.0,39.0,3.0,24.0,,,no nerve transfer,,,,,,
