pmid,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,notes,tool 1,tool 2,tool 3,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3,,
19568051,Embase,Single-stage facial reanimation in the surgical treatment of unilateral established facial paralysis,"BACKGROUND: Surgical treatment of unilateral long-standing facial paralysis requires transposition of new musculature to restore the function of the atrophied mimetic musculature. Facial reanimation with free neuromuscular flaps is actually the accepted standard treatment. Two-stage procedures have been used for years, with a total flap recovery time of 18 to 24 months. In 1998, Harii proposed single-stage facial reanimation using the latissimus dorsi flap, showing a faster recovery compared with two-stage procedures. The present study evaluated the results of the authors' center applying the single-stage facial reanimation. METHODS: From April of 1999 to April of 2006, 33 patients with unilateral established facial paralysis underwent single-stage facial reanimation via latissimus dorsi free flap transplantation. Time from the onset of paralysis ranged from 20 months to 64 years (mean, 11.6 years). Patients were followed postoperatively for at least 24 months. Results were studied and compared using Terzis and Noah's 1997 classification. RESULTS: Among the 33 patients included in the study, there was an average reinnervation time of 8.9 months. According to Terzis and Noah's classification system, 12 patients (36.3 percent) were considered grade V, 12 (36.3 percent) were grade IV, four (12.2 percent) were grade III, two (6.1 percent) were grade II, and three (9.1 percent) were grade I. CONCLUSIONS: Single-stage facial reanimation with a latissimus dorsi flap achieved morphofunctional results similar to those obtained with the classic two-stage technique. In addition, the authors were able to reduce the morbidity associated with treatment and the time required for recovery. ¬¨¬© 2009 American Society of Plastic Surgeons.",0,,2,0,9,9,2,1,0,33,1.67,22,47.8,5,73,24,,,,"neg: no HB improvement, synkinesis, pseudospasm, infection, flap loss",,,,no nerve transfer,,,['Latissimus dorsi flap'],Latissimus dorsi flap,,,,
19571737,Embase,Muscle transplants for facial reanimation: Rationale and results of insertion technique using the palmaris longus tendon,"Thirty-one patients with unilateral long-standing facial palsy underwent 1-stage reanimation with free gracilis muscle transplant innervated by the masseteric branch of the trigeminal nerve. They were divided into 2 nonrandomized groups according to insertion technique: group I (9 patients), interrupted suture between the free flap and the orbicularis oris of the upper and lower lip on the paralyzed side; group II (22 patients), palmaris longus tendon graft placed between the gracilis free flap and the orbicularis oris of the upper and lower lip on the nonparalyzed side. Qualitative evaluation of the smile demonstrated better results in patients from group II. Comparing the position of the Cupid's bow at rest, pre- and postoperatively in each patient, we observed significant improvement of facial symmetry in both groups. During smile, however, there was a significantly higher rate of centralization of the Cupid's bow in patients submitted to reanimation with the use of the palmaris longus tendon (group II). ¬¨¬© 2009 Lippincott Williams & Wilkins, Inc.",0,,2,0,10,9,8,3,0,31,3,6.03,33.4,7,58,12,36,,,"neg: fluid collection requiring takeback
tools: clinic eval and facial measurements",,,,no nerve transfer,,,['Palmaris longus flap'],Palmaris longus flap,,,,
19944241,Embase,Facial animation in children with Moebius and Moebius-like syndromes,"Background: Moebius syndrome, a rare congenital disorder of varying severity, involves multiple cranial nerves and is characterized predominantly by bilateral or unilateral paralysis of the facial and abducens nerves. The paralysis of the VI and VII cranial nerves leads to a lack of function in the muscles they supply. Facial paralysis often causes bilabial incompetence with speech difficulties, oral incompetence, problems with eating and drinking, including pocketing of food in the cheek and dribbling, as well as severe drooling. Methods: In this study, we report on pediatric patients with Moebius and Moebius-like syndromes seen and treated surgically from 2003 to September 2007 at the Operative Unit of Maxillofacial Surgery, Head and Neck Department, University of Parma, Italy. Results: Twelve patients underwent microsurgical reconstruction for restoration of facial movement. The contralateral facial nerve was used as a motor donor nerve in 4 procedures, the motor nerve to the masseter muscle was used in 8 patients, and the gracilis muscle was used in all operations, with a total of 17 free-muscle transplantations. All free-muscle transplantations survived transfer, and no flap was lost. We observed a significant improvement in drooling, drinking, speech, and facial animation with a high degree of patient satisfaction. Conclusions: The gracilis muscle free transfer is a surgical procedure well tolerated by the young patients and well accepted by their families. We consider it a safe and reliable technique for facial reanimation with good aesthetical and functional results in children with Moebius and Moebius-like syndromes. ¬¨¬© 2009 Elsevier Inc. All rights reserved.",4,,1,1,9,9,4,1,0,31,3,6,7.3,1,13,12,,,,"pos: improvement in drooling, drinking, speech, and facial animation, pt satisfaction
neg: seroma, scars that underwent hypertrophy at the site of the neck incision, no reinnervation",,,,"Cross-facial nerve transfer, masseteric nerve",Abducens nerve transfer,,,,,,,
20417006,Embase,Facial Animation With Free-Muscle Transfer Innervated by the Masseter Motor Nerve in Unilateral Facial Paralysis,"Purpose: Facial paralysis is a congenital or acquired disorder of varying severity leading to an asymmetric or absent facial expression. It represents an important debilitation from both esthetic and functional points of view. In this article we report our experience with patients treated with gracilis muscle transplantation innervated by the motor nerve to the masseter muscle. We discuss the surgical technique and the functional and esthetic results and evaluate the effectiveness of this donor nerve in providing adequate innervation to the muscle transfer for lower facial reanimation. Materials and Methods: Fifteen patients with unilateral facial paralysis were seen and surgically treated at the Department of Maxillofacial Surgery, University of Parma, Parma, Italy, between 2003 and 2007. In this study we report on 8 cases treated with gracilis muscle transfer reinnervated by the motor nerve to the masseter muscle. Results: In this series all free-muscle transplantations survived transfer, and no flap was lost. Facial symmetry at rest and while smiling was excellent or good in all patients, and we observed a significant improvement in speech and oral competence. With practice, the majority of patients developed the ability to smile spontaneously and without jaw movement. Conclusions: We consider the masseter motor nerve a powerful and reliable donor nerve, allowing us to obtain a commissure and upper lip movement similar to those of the normal site for amount and direction. This is why we think that there may be a larger role for the masseter motor nerve for innervation of patients with unilateral facial paralysis who would otherwise have been considered candidates for cross-facial nerve graft innervation of the muscle transfer. ¬¨¬© 2010 American Association of Oral and Maxillofacial Surgeons.",2,,1,3,0,9,4,1,0,15,3.5,,20.5,7,60,12,,,,,,,,Masseteric nerve transfer,,,,,,,,
20595863,Pub-med,Blink restoration in adult facial paralysis,"Background: Impaired eyelid function in facial paralysis patients is a serious disability that can even threaten vision. Eye reanimation techniques and specifically blink restoration reinstates the cornea's protective mechanism and recovers a more natural appearance and eye function. Both dynamic and static procedures have been used to augment eye closure, but only dynamic procedures can lead to blink restoration. In this study, the experience of a single surgeon (J.K.T.) with dynamic procedures addressing the challenge of blink restoration is presented. Methods: A retrospective review of 95 adult patients who underwent dynamic procedures for blink restoration was performed. The patients were divided into two groups. Group A (n = 75) included patients who underwent nerve transfers, including cross-facial nerve grafting and subsequent microcoaptations, mini-hypoglossal nerve transfers, and direct orbicularis oculi muscle neurotization. Group B (n = 20) included patients who underwent eye sphincter substitution procedures, including pedicled frontalis or mini-temporalis transfers, free platysma, occipitalis, gracilis subunits, extensor digitorum brevis, and a slip of adductor longus transfer. Objective blink ratios were measured according to a protocol established by the senior author (J.K.T.). Results: The patients included 34 men and 61 women. Mean age was 34.9 +/- 9.8 years. Denervation time ranged from 7 months to 42.12 years, and the mean denervation time was 13.02 years. Blink improvement was noted in all of the patients. Blink scores and ratios were consistently better in group A than in group B. Conclusion: Dynamic procedures provide the functional substrate on which subsequent static procedures can be performed and aid blink return.",4,,1,1,0,5,2,1,0,75,1,5,12.5,3,43,26,97,"Multiple nerve grafts:cross-facial,hypoglossal",,Tools: Terzis and Bruno methodology Outcomes: Blink scores,,,,Cross-facial nerve transfer,Hypoglossal nerve transfer,,,,,,,
21093962,Pub-med,Split hypoglossal-facial nerve neurorrhaphy for treatment of the paralyzed face,"Background: Several methods of neural rehabilitation for facial paralysis using 12-7 transfers have been described. The purpose of this study is to report on a series for dynamic reinnervation of the paralyzed face by using a split 12-7 nerve transposition. The goals of this procedure are to minimize tongue morbidity and to provide good facial reinnervation. Methods: Prospective case series. Melolabial crease discursion, overall facial movement, and degree of tongue atrophy and mobility were recorded. Results: Thirteen patients underwent facial reanimation using a split hypoglossal-facial nerve transfer with postoperative follow-up to 58 months (range, 6-58 months). All patients achieved excellent rest symmetry and facial tone. Of 13 patients, 10 had measurable coordinated movement and discursion of their melolabial crease. Of 13 patients, 12 had mild to moderate ipsilateral tongue atrophy. The mean time to onset of visible reinnervation was 3 months. Conclusion: Split hypoglossal-facial nerve transposition provides good rehabilitation of facial nerve paralysis with reduced lingual morbidity. Long-term rest symmetry and potential learned movement can be achieved. This technique may provide a favorable alternative to the traditional method of complete hypoglossal sacrifice or jump grafting.",3,,0,0,0,9,8,1,0,13,3,5,13.9,1,48,12,,,,"Tools: HB scores, May's classification, clinical examination Outcomes: symmetry, facial tone, facial movement, discursion of melolabial crease, tongue atrophy, reinnervation",,,,Hypoglossal nerve transfer,,,,,,,,
21145243,Embase,Deep-planes lift associated with free flap surgery for facial reanimation,"Between April 1999 and April 2008, 37 patients with long-standing facial paralysis underwent a one-stage facial reanimation with neuromuscular free flaps: 28 patients (group A) underwent flap transposition only; 9 patients (group B) underwent a deep-planes lift (DPL) composed of the superficial muscoloaponeurotic system + parotid fascia at the time of facial reanimation. The postoperative and final results were compared between groups A and B, following the classification of Terzis and Noah (1997). Before the onset of contraction, only group B patients (100%) showed good or moderate symmetry at rest, while none of the patients of group A had a symmetric face. The respective final results for patients in groups A and B who already showed the onset of flap contraction were excellent in 28.6% and 44.5%, good in 42.9% and 33.3%, moderate in 10.7% and 22.2%, and fair or poor and fair in 17.8% and 0% of patients, respectively. The DPL allows immediate symmetry of the face at rest and contributes to upgrading the final static and dynamic results in facial reanimation with free muscular flaps. ¬¨¬© 2010 European Association for Cranio-Maxillo-Facial Surgery.",0,,2,0,9,9,2,1,0,37,3,,,,,6,,,,"neg: pseudospasm, repositioning of muscle required
tool: Terzis and Noah grading scale",,,,no nerve transfer,,,['Fascia flap'],Fascia lata,,,,
21865999,Pub-med,Functioning free gracilis myocutaneous flap transfer provides a reliable single-stage facial reconstruction and reanimation following tumor ablation,"Background: Ablative orofacial defects incorporating mimetic facial musculature/nerve cause hemifacial expressive dysfunction and considerable morbidity but are rarely reanimated immediately using free functioning gracilis myocutaneous flaps. Methods: Disrupted buccal branches provided a recipient facial nerve for 24 gracilis reinnervations. An additional 15 free flaps were used for extensive composite defects. Smile outcome was graded according to Terzis' criteria after 2 years of recurrence-free follow-up. The effects of postoperative radiotherapy, integrity of the oral commissure, and double free flaps were compared. Results: Eighteen patients completed 2 years' recurrence-free follow-up; average smile outcome was Terzis grade 4 (mean, 3.8). Resection/reconstruction of the modiolus (five of 18 patients) tended to diminish outcome (Terzis grade 3, mean, 3.0; median, 3; versus Terzis grade 4, mean, 4.1; median, 5) compared with two free flaps performed simultaneously(mean, 3.56 versus 4.14; median, 3 versus 5). Postoperative radiotherapy (eight of 18 patients) had a more modest effect on outcome (Terzis grade 3, mean, 3.3; Terzis grade 4, mean, 4.1; median, 3 versus 5). Conclusion: Reconstruction of oncologic defects including expressive facial musculature/nerve with gracilis free functioning muscle transfer can restore oral continence and facial expression primarily. Clinical question/level of evidence: Therapeutic, IV.",0,,1,1,0,9,2,1,0,18,5,7,25.7,3,72,12,240,,,Tools: Terzis' Outcomes: time of return of contraction,,,,no nerve transfer,,,,,,,,
21872484,Pub-med,Facial movement before and after masseteric-facial nerves anastomosis: a three-dimensional optoelectronic pilot study,"To quantify the effects of facial palsy reanimation, 14 patients aged 17-66 years were analysed. All patients had unilateral facial paralysis, and were candidates for surgical masseteric to facial nerve anastomosis. Two patient groups were measured: seven patients were waiting for surgery, the other seven patients had already been submitted to surgery, and had regained facial mimicry. Each patient performed three facial animations: brow raise; free smile; lip purse. These were recorded using an optoelectronic motion analyser. The three-dimensional coordinates of facial landmarks were obtained, their movements were computed, and asymmetry indices calculated (differential movements between the two hemi-faces: healthy and paretic/rehabilitated). Before surgery, mobility was larger in the healthy than in the paretic side; after surgery, the differences were reduced (brow raise and lip purse), or even reversed (smile). Before surgery, lip purse was performed with significant labial asymmetry (p=0.042; larger healthy side movement). After surgery, asymmetry indices reduced. Total labial asymmetry during smiling was significantly different from 0 before surgery (p=0.018, larger healthy side movement). After surgery, all asymmetry indices became non-significant. Before surgery the lateral displacements of all labial landmarks were towards the healthy side, while they normalized after surgery.",2,,2,0,0,9,1,2,0,14,3,4,43,28,63,32,74,,,"Tools: SMART System Outcome: symmetry, displacement of labial landmarks",,,,Masseteric nerve transfer,,,['Alt flap'],Alt,,,,
22110814,Pub-med,Revisiting orthodromic temporalis transfer in treating long-standing facial paralysis,"The treatment of long-standing facial paralysis through temporalis muscle transfer has stood the test of time. Herein, we present a modification in temporalis muscle transfer for lower facial reanimation. Instead of the traditional stripping of the temporalis muscle from its origin, its insertion is stripped from the coronoid process through an intraoral approach. The detached fibers were then sutured to a fascia lata graft, which was passed and secured to the orbicularis oris to reanimate the corner of the mouth. The procedure is less extensive and provides a direct ""orthodromic"" line of pull with good muscular excursion and power. This simple procedure has been applied to 12 consecutive cases with long-standing complete facial paralysis presenting to the Plastic and Reconstructive Surgery Clinic at the Ain-Shams University Hospital over the past 2 years. In addition to symmetry at rest, this easy procedure allowed for good movement of the corner of the mouth with restoration of a balanced smile.",0,,2,3,0,9,4,1,0,12,4,11,44,17,66,4,21,,,"Tools: clinical evaluation Outcomes: pt. satisfaction, physician graded, facial movement, oral commissure,",,,,no nerve transfer,,,['Fascia flap'],Fascia lata,,,,
22310454,Pub-med,Recovery of emotional smiling function in free-flap facial reanimation,"Purpose: Long-standing unilateral facial palsy is treated primarily with free-flap surgery using the masseteric or contralateral facial nerve as a motor source. The use of a gracilis muscle flap innervated by the masseteric nerve restores the smiling function, without obtaining spontaneity. Because emotional smiling is an important factor in facial reanimation, the facial nerve must serve as the motor source to achieve this fundamental target. Materials and methods: From October 1998 to October 2009, 50 patients affected by long-standing unilateral facial paralysis underwent single-stage free-flap reanimation procedures to recover smiling function. A latissimus dorsi flap innervated by the contralateral facial nerve was transplanted in 40 patients, and a gracilis muscle flap innervated by the masseteric nerve in 10 patients. All patients underwent a clinical examination that analyzed voluntary and spontaneous smiling. Results: All patients who received a latissimus dorsi flap innervated by the contralateral facial nerve and recovered muscle function (92.5%) showed voluntary and spontaneous smiling abilities. All patients who received a gracilis free flap innervated by the masseteric nerve recovered function, but only 1 (10%) showed occasional spontaneous flap activation. During those rare activations, much less movement was visible on the operated side than when the patient was asked to smile voluntarily. Conclusions: The masseteric nerve is a powerful motor source that guarantees free voluntary gracilis muscle activation; however, it does not guarantee any spontaneous smiling. Single-stage procedures that use a latissimus dorsi flap innervated by the contralateral facial nerve have a lower success rate and obtain less movement; however, spontaneous smiling is always observed.",2,,1,0,0,2,8,1,0,40,3,,16.4,7,45,,,,,"Terzis, clinical evaluation. This presents a comparative study of two approaches. Doubtful on how to classify it.",,,,Masseteric nerve transfer,,,,,,,,
22431814,Pub-med,Simultaneous anterolateral thigh flap and temporalis tendon transfer to optimize facial form and function after radical parotidectomy,"Background Extirpation of aggressive parotid or cutaneous facial tumors often involves facial nerve sacrifice and the creation of a large soft-tissue defect. We describe a method for single-stage reconstruction during radical parotidectomy to restore facial form and function without additional morbidity. Methods We conducted a review of immediate reconstruction/reanimation of radical parotidectomy defects with the use of anterolateral thigh (ALT) fat and fascia flaps for facial contouring, orthodromic temporalis tendon transfer (OTTT), cable grafting of the facial nerve, and fascia lata lower lip suspension. Results Five patients (mean age, 67.4 years) underwent extirpation of malignant tumors with facial nerve sacrifice resulting in large soft-tissue deficits. All patients had ALT free tissue transfer to correct facial contour defects and OTTT to restore facial form and function. Four patients underwent cable grafting of facial nerve branches. Branches of the motor nerve to the vastus lateralis harvested from the ALT surgical site were used for cable nerve grafting in 3 patients. Fascia lata from the same ALT harvest site was used for lower lip suspension to the OTTT in 4 patients. There were no donor site complications. All patients achieved miDFacial symmetry at rest, oral competence with dynamic corner-of-mouth movement, and full eye closure. Conclusions Tumor clearance, symmetric facial appearance, as well as dynamic facial rehabilitation were accomplished in a single-stage procedure using the method described herein. The ALT free flap provides versatile options for soft-tissue defects as well as access to motor nerves optimal for grafting without additional morbidity. Patients undergoing extirpation of malignant tumors requiring facial nerve sacrifice can undergo immediate free tissue contour reconstruction and facial reanimation procedures with no additional morbidity.",0,,2,3,9,9,4,1,0,5,3,13,47.4,6,77,,,"Multiple nerve grafts:nerve graft,nerve grafting,cable graft,Other free flap type:fascia lata,",,neg: postop urinary retention and cardiac ST-segment changes,,,,no nerve transfer,,,"['Alt flap', 'Fascia flap']",Alt,Fascia flap,,,
22451794,Pub-med,Outcomes of Direct Facial-to-Hypoglossal Neurorrhaphy with Parotid Release,"Lesions of the temporal bone and cerebellopontine angle and their management can result in facial nerve paralysis. When the nerve deficit is not amenable to primary end-to-end repair or interpositional grafting, nerve transposition can be used to accomplish the goals of restoring facial tone, symmetry, and voluntary movement. The most widely used nerve transposition is the hypoglossal-facial nerve anastamosis, of which there are several technical variations. Previously we described a technique of single end-to-side anastamosis using intratemporal facial nerve mobilization and parotid release. This study further characterizes the results of this technique with a larger patient cohort and longer-term follow-up. The design of this study is a retrospective chart review and the setting is an academic tertiary care referral center. Twenty-one patients with facial nerve paralysis from proximal nerve injury at the cerebellopontine angle underwent facial-hypoglossal neurorraphy with parotid release. Outcomes were assessed using the Repaired Facial Nerve Recovery Scale, questionnaires, and patient photographs. Of the 21 patients, 18 were successfully reinnervated to a score of a B or C on the recovery scale, which equates to good oral and ocular sphincter closure with minimal mass movement. The mean duration of paralysis between injury and repair was 12.1 months (range 0 to 36 months) with a mean follow-up of 55 months. There were no cases of hemiglossal atrophy, paralysis, or subjective dysfunction. Direct facial-hypoglossal neurorrhaphy with parotid release achieved a functional reinnervation and good clinical outcome in the majority of patients, with minimal lingual morbidity. This technique is a viable option for facial reanimation and should be strongly considered as a surgical option for the paralyzed face.",3,,0,0,1,9,8,1,0,21,10,,67.4,48,82,,,,,"Tools: clinical evaluation, pt. satisfaction questionnaire, Facial Nerve Recovery Scale Outcomes: first contraction, tongue mobility, degree of atrophy,",,,,Hypoglossal nerve transfer,,,,,,,,
22455573,Pub-med,Comparison of hemihypoglossal-facial nerve transposition with a cross-facial nerve graft and muscle transplant for the rehabilitation of facial paralysis using the facial clima method,"To compare quantitatively the results obtained after hemihypoglossal nerve transposition and microvascular gracilis transfer associated with a cross facial nerve graft (CFNG) for reanimation of a paralysed face, 66 patients underwent hemihypoglossal transposition (n = 25) or microvascular gracilis transfer and CFNG (n = 41). The commissural displacement (CD) and commissural contraction velocity (CCV) in the two groups were compared using the system known as Facial clima. There was no inter-group variability between the groups (p > 0.10) in either variable. However, intra-group variability was detected between the affected and healthy side in the transposition group (p = 0.036 and p = 0.017, respectively). The transfer group had greater symmetry in displacement of the commissure (CD) and commissural contraction velocity (CCV) than the transposition group and patients were more satisfied. However, the transposition group had correct symmetry at rest but more asymmetry of CCV and CD when smiling.",1,,1,0,0,9,1,2,0,66,4,6,42,13,73,12,108,"Multiple nerve grafts:cross facial,hypoglossal",,"Tools: Facial Clima Outcomes:commissural displacement, commissural contraction velocity,",,,,Cross-facial nerve transfer,,,,,,,,
25469588,Pub-med,Double innervated free functional muscle transfer for facial reanimation,"Background: The treatment of long-standing facial palsy represents a challenge for the reconstructive surgeon. Treatment is based on dynamic procedures such as functional muscle flaps. The benefit of added axonal load has recently been reported. This study describes a two stage technique involving dual innervation of a gracilis muscle flap with initial cross-facial nerve graft (CFNG) followed by free muscle transfer co-apted to both the CFNG and a masseter nerve for facial reanimation. Methods: A total of nine patients from August 2008-July 2011 were operated on with the double innervated gracilis muscle flap. Pre- and postoperative electromyography was documented, and video analysis with the five-stage classification of reanimation outcomes was performed. Results: All patients recovered voluntary and spontaneous smile abilities, with an average of 70% motor unit recruitment. Based on the Terzis reanimation outcome classification, four patients had an excellent result, four good, and one moderate. Conclusions: The double innervated gracilis muscle flap is a viable technique for the treatment of long-standing facial palsy. It enables a fast recovery with fast muscle activity, and allows an emotional smile and aesthetic symmetry.",6,Masseteric + CFNG,1,0,0,9,2,1,0,9,2.195,,,,,,,"Multiple nerve grafts:cross-facial,masseter nerve",,"Tools:Terzis' classification Outcomes:smile, motor unit recruitment, time to reinnervation, muscle function",,,,Double innervation,,,,,,,,
26026222,Pub-med,Double-powered free gracilis muscle transfer for smile reanimation: A longitudinal optoelectronic study,"The choice of the motor donor nerve is a crucial point in free flap transfer algorithms. In the case of unilateral facial paralysis, the contralateral healthy facial nerve can provide coordinated smile animation and spontaneous emotional expression, but with unpredictable axonal ingrowth into the recipient muscle. Otherwise, the masseteric nerve ipsilateral to the paralysis can provide a powerful neural input, without a spontaneous trigger of the smile. Harvesting a bulky muscular free flap may enhance the quantity of contraction but esthetic results are unpleasant. Therefore, the logical solution for obtaining high amplitude of smiling combined with spontaneity of movement is to couple the neural input: the contralateral facial nerve plus the ipsilateral masseteric nerve. Thirteen patients with unilateral dense facial paralysis underwent a one-stage facial reanimation with a gracilis flap powered by a double donor neural input, provided by both the ipsilateral masseteric nerve (coaptation by an end-to-end neurorrhaphy with the obturator nerve) and the contralateral facial nerve (coaptation through a cross-face nerve graft: end-to-end neurorrhaphy on the healthy side and end-to-side neurorrhaphy on the obturator nerve, distal to the masseteric/obturator neurorrhaphy). Their facial movements were evaluated with an optoelectronic motion analyzer. Before surgery, on average, the paretic side exhibited a smaller total three-dimensional mobility than the healthy side, with a 52% activation ratio and >30% of asymmetry. After surgery, the differences significantly decreased (analysis of variance (ANOVA), p < 0.05), with an activation ratio between 75% (maximum smile) and 91% (maximum smile with teeth clenching), and <20% of asymmetry. Similar modifications were seen for the performance of spontaneous smiles. The significant presurgical asymmetry of labial movements reduced after surgery. The use of a double donor neural input permitted both movements that were similar in force to that of the healthy side, and spontaneous movements elicited by emotional triggering.",6,Masseteric + CFNG,1,0,3,2,8,3,0,13,10,,,,,,,"Multiple nerve grafts:cross-face,masseteric nerve",,tools: clinical and optoelectronic motion analyzer.,,,,Double innervation,,,,,,,,
30949826,Embase,Reconstruction of complex defects of the extracranial facial nerve: technique of ‚Äö√Ñ√∫the trifurcation approach‚Äö√Ñ√π,"Purpose: Reconstruction of complex defects of facial nerve (FN) after extensive cancer surgery requires individualized solutions. We describe the trifurcation technique as a modification of the combined approach on example of two patients with locally advanced parotid cancer. Methods: Due to perineural invasion, extensive resection of the FN from the mastoid segment to the peripheral branches was required. For reanimation of the upper face, a complex cervical plexus graft was sutured end-to-end to the mastoid segment of the FN trunk. The branches of the graft enabled reanimation of three peripheral temporal and zygomatic branches. The mandibular branch was sutured end-to-side to the hypoglossal nerve (hypoglossal‚Äö√Ñ√¨facial nerve transfer, HFNT). Additionally, the buccal branch was independently reanimated with ansa cervicalis. Results: Facial reanimation was successful in both patients. Good resting tone and voluntary movement were achieved with a mild degree of synkinesis after 13¬¨‚Ä†months. Patient 1 showed the Sunnybrook (SB) composite score 69 [76 (voluntary movement score) ‚Äö√†√≠ 0 (resting symmetry score) ‚Äö√†√≠ 7 (synkinesis score)]. In patient 2, the SB composite score was 76 (80 ‚Äö√†√≠ 0 ‚Äö√†√≠ 4, respectively). Conclusions: In this trifurcation approach, cervical cutaneous plexus provides a long complex nerve graft, which allows bridging the gap between proximal FN stump and several peripheral branches without great expenditure. In combination with the HFNT and ansa cervicalis transfer, this procedure enables the facial reanimation with low grade of synkinesis.",6,Hypoglossal + Ansa cervicalis + Cervical plexus,0,2,9,9,8,3,0,2,13,,,,,,,"Multiple nerve grafts:hypoglossal,ansa cervicalis",,"sunnybrook score
neg: asymmetry, synkinesis",,,,Double innervation,,,,,,,,
31688275,Pub-med,Comparative Study of 2 Different Innervation Techniques in Facial Reanimation: Cross-face Nerve Graft-Innervated Versus Double-Innervated Free Gracilis Muscle Transfer,"Recently, 1-stage double innervation with the masseter nerve and the CFNG has gained popularity owing to its outcomes of powerful and synchronous muscle contraction. In this study, we compared CFNG- and double-innervated free gracilis muscle transfer (FGMT) for facial palsy reconstruction.A total of 49 patients with facial palsy who underwent facial reanimation surgery from August 2013 to January 2017 were enrolled. The CFNG group (18 patients) underwent 2-stage CFNG innervation, whereas the double-innervated FGMT group (31 patients) underwent dual coaptation with end-to-end masseter nerve and end-to-side CFNG. The FACEgram software was used for evaluating smile excursion, symmetry index, spontaneous smile occurrence, Terzis' score including palsy pathogenesis, and clinical progress.In the CFNG group, the smile excursion at rest increased (P = 0.000); however, there was increased smile excursion both at rest and during smiling in the double-innervated FMGT group (rest P = 0.002, smile P = 0.028). Improvement of the symmetry index was observed only in the FMGT group (rest P = 0.001, smile P = 0.000). There was no significant difference in Terzis' scores. The average time to the first visible muscle contracture was statistically significantly shorter in the double-innervated FGMT group (P = 0.035). With respect to spontaneous smile achievement, the double-innervated FGMT group (25.8%) showed a satisfactory outcome.Cross-face nerve graft-innervated FGMT improved only smile excursion at rest, whereas double-innervated FGMT provided improvement in both the resting and smiling postures. Furthermore, the double-innervated FGMT group showed a higher symmetry index. However, the 2 operations did not show a significant difference in functional aspects.",6,Masseteric + CFNG,1,3,0,9,1,2,0,18,7,,,,,,,"Multiple nerve grafts:cross-face,masseter nerve","CFNG and double-innervated free gracilis muscle transfer (FGMT); sural nerve harvested the lower leg, harvested gracilis muscle flap","CFNG and double-innervated free gracilis muscle transfer (FGMT); sural nerve harvested the lower leg, harvested gracilis muscle flap",,,,Double innervation,,,,,,,,
34024072,Pub-med,Dual-innervated multivector muscle transfer using two superficial subslips of the serratus anterior muscle for long-standing facial paralysis,"Recent reports have described several cases of double muscle transfers to restore natural, symmetrical smiles in patients with long-standing facial paralysis. However, these complex procedures sometimes result in cheek bulkiness owing to the double muscle transfer. We present the case of a 67-year-old woman with long-standing facial paralysis, who underwent two-stage facial reanimation using two superficial subslips of the serratus anterior muscle innervated by the masseteric and contralateral facial nerves via a sural nerve graft. Each muscle subslip was transferred to the upper lip and oral commissures, which were oriented in different directions. Furthermore, a horizontal fascia lata graft was added at the lower lip to prevent deformities such as lower lip elongation and deviation. Voluntary contraction was noted at roughly 4 months, and a spontaneous smile without biting was noted 8 months postoperatively. At 18 months after surgery, the patient demonstrated a spontaneous symmetrical smile with adequate excursion of the lower lip, upper lip, and oral commissure, without cheek bulkiness. Dual-innervated muscle transfer using two multivector superficial subslips of the serratus anterior muscle may be a good option for long-standing facial paralysis, as it can achieve a symmetrical smile that can be performed voluntarily and spontaneously.",6,Masseteric + CFNG,2,3,0,9,4,1,0,1,4,,,,,,,"other:serratus anterior muslce, Sural nerve graft",serratus anterior muslce + sural nerve graft,serratus anterior muslce + sural nerve graft,,,,Double innervation,,,"['Serratus anterior muscle flap', 'Fascia flap']",Serratus anterior,Fascia flap,,,
