database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
Pub-med,Modified technique for rehabilitation of facial paralysis using autogenous fascia lata grafts,"Purpose: In this retrospective study we used a modified surgical technique for miDFace reanimation in patients with facial nerve paralysis. Facial atonicity can cause functional impairment regarding speech articulation, oral competence, breathing, and eyelid closure. Furthermore, esthetic and psychological aspects play an important role in patients' emotional interaction and social integration. The chosen rehabilitative technique should offer support against prolapse of facial structures and remedy of functional disabilities and, thereby, prevention of social stigmatization due to disease-related changes in appearance. Materials and methods: Between 2005 and 2013, fascia lata grafts were used as static support in 15 cases of unilateral facial paralysis. Two fascia lata grafts were subcutaneously inserted in the upper and lower lips crossing the midline and sutured at 4 points, including the unaffected part of the orbicularis oris muscle and modiolus. The slings were suspended against the zygomatic arch with an osteosynthesis plate. Results: The patients perceived surgery results as considerably improving their appearance, speech, and alimentation. In 93.3% of cases, no postoperative complications occurred. The follow-up results (8 months to 8 years) remained stable. Conclusions: This retrospective study showed the advantages of static facial reanimation in appropriate cases. The bony fixated support of the fascial slings allows an immediate improvement of facial symmetry. Additional attachment points including the unaffected part of the orbicularis oris muscle and the use of 2 independent fascia lata slings allow a more accurate adjustment of suspension forces and an incomplete dynamic reanimation of the mouth corner. With respect to its simplicity and minimal invasiveness, this surgical procedure is associated with low morbidity and rapid improvement of the patient's esthetic appearance.",0,,2,3,5,9,4,1,0,10.1016/j.joms.2014.07.041,J Oral Maxillofac Surg. 2015 Jan;73(1):176-83. doi: 10.1016/j.joms.2014.07.041. Epub 2014 Aug 4.,"Lemound J, Stoetzer M, Kokem‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†¬¥ller H, Schumann P, Gellrich NC.",2015,25511964,"Tools: Outcomes:pt perception of appearance, speech, and alimentation, oral commissure, asymmetry, oral competence  fascia lata grafts",15,,,,,no nerve transfer,,,['Fascia flap'],Fascia lata ,,
Pub-med,Electromyographic Evaluation of Temporalis Muscle Following Temporalis Tendon Transfer (Facial Reanimation) Surgery,"Facial paralysis is a significant functional and aesthetic handicap. Many techniques have been defined for facial reanimation. The aim of the study was to evaluate postoperative electromyographical (EMG) activity of temporalis muscle to assess the potential neural impairments related to the surgical procedure. Methodology: Four patients with facial paralysis were operated with the temporalis muscle tendon transfer technique. Simultaneous surface electromyographic (sEMG) activity at first postoperative year from the bilateral temporalis and masseter muscles was obtained at mandibular rest position and then during maximal clenching. Results: Patients were followed for a minimum period of 18 months. Surface electromyographic evaluations during passive state revealed similar values for the operated and contralateral side. Measurements during active ""clench-smiling"" of the jaw revealed similar amplitudes for both muscles of the operated side in all cases except case #2. Case #2 revealed lower values for both measurements of temporalis and masseter muscles of the operated side compared with the contralateral side. Dissonant results of case #2 can be the consequence of impaired temporalis muscle activity because of the tension on the muscle as a consequence of overcorrection. Conclusion:Temporalis muscle transfer to the perioral region does not hinder contractility of the muscle as long as the facial deformity is not overcorrected.",0,,0,3,0,7,6,2,0,10.1097/SCS.0000000000002027,J Craniofac Surg. 2015 Sep;26(6):e515-7. doi: 10.1097/SCS.0000000000002027.,"Ozturan O, Ozucer B, Gursoy AE.",2015,26267582,Tools: sEMG Outcomes: comparisson between EMG values between hemifaces,4,,,,,no nerve transfer,,,,,,
Pub-med,Postparalysis facial synkinesis: clinical classification and surgical strategies,"Background: Postparalysis facial synkinesis (PPFS) can occur after any cause of facial palsy. Current treatments are still inadequate. Surgical intervention, instead of Botox and rehabilitation only, for different degrees of PPFS was proposed. Methods: Seventy patients (43 females and 27 males) with PPFS were enrolled since 1986. They were divided into 4 patterns based on quality of smile and severity of synkinesis. Data collection for clinically various presentations was made: pattern I (n = 14) with good smile but synkinesis, pattern II (n = 17) with acceptable smile but dominant synkinesis, pattern III (n = 34) unacceptable smile and dominant synkinesis, and pattern IV (n = 5) poor smile and synkinesis. Surgical interventions were based on patterns of PPFS. Selective myectomy and some cosmetic procedures were performed for pattern I and II patients. Extensive myectomy and neurectomy of the involved muscles and nerves followed by functioning free-muscle transplantation for facial reanimation in 1- or 2-stage procedure were performed for pattern III and many pattern II patients. A classic 2-stage procedure for facial reanimation was performed for pattern IV patients. Results: Minor aesthetic procedures provided some help to pattern I patients but did not cure the problem. They all had short follow-up. Most patients in patterns II (14/17, 82%) and III (34/34, 100%) showed a significant improvement of eye and smile appearance and significant decrease in synkinetic movements following the aggressively major surgical intervention. Nearly, all of the patients treated by the authors did not need repeated botulinum toxin A injection nor require a profound rehabilitation program in the follow-up period. Conclusions: Treatment of PPFS remains a challenging problem. Major surgical reconstruction showed more promising and long-lasting results than botulinum toxin A and/or rehabilitation on pattern III and II patients.",0,,1,0,1,9,2,3,1,10.1097/GOX.0000000000000283,Plast Reconstr Surg Glob Open. 2015 Apr 7;3(3):e320. doi: 10.1097/GOX.0000000000000283. eCollection 2015 Mar.,"Chuang DC, Chang TN, Lu JC.",2015,25878931,"Tools: Smiling Score, Cortical Adaptation Stage System, Synkinesis Gradeing System, Satisfactory Score Outcomes: eye and smile appearance, sykinetic movements multiple types of free flaps",70,,,,,no nerve transfer,,,,,,
Pub-med,Transnasal tendon suspension for the paralyzed lower eyelid,"Background: Paralytic ectropion is a significantly functional and esthetic problem leading to problems with lacrimation, corneal exposure, and poor palpebral closure. Limitations with traditional corrective procedures include poor apposition of the lid to the globe, suboptimal medial canthal position, and high recurrence rates. Objective: The objective of this study was to develop a technique of lower-lid suspension using transnasal wiring for the long-term maintenance of lid position. Methods: Twenty-three consecutive patients with complete unilateral facial nerve paralysis underwent the procedure, and they were followed up for a median of 27 months (1-73 months). Results: Fifteen of 18 patients maintained their intraoperative lower-lid position beyond the 12-month follow-up. Three patients had a minimal scleral show at 3 months. One of these patients also developed lid laxity seen on the snap test. No perioperative complications were experienced. Conclusions: Transnasal wiring of the lower-lid tendon suspension provides consistent results that are maintained over time.",0,,0,0,0,9,4,1,0,10.1016/j.bjps.2015.04.008,J Plast Reconstr Aesthet Surg. 2015 Aug;68(8):1072-8. doi: 10.1016/j.bjps.2015.04.008. Epub 2015 Apr 20.,"Yoo J, Matic D.",2015,26013189,"Tools:clinical evaluation  Outcomes: lower lid position, eye closure, symptomstransnasal tendon suspension",23,,,,,no nerve transfer,,,,,,
Pub-med,Double innervated free functional muscle transfer for facial reanimation,"Background: The treatment of long-standing facial palsy represents a challenge for the reconstructive surgeon. Treatment is based on dynamic procedures such as functional muscle flaps. The benefit of added axonal load has recently been reported. This study describes a two stage technique involving dual innervation of a gracilis muscle flap with initial cross-facial nerve graft (CFNG) followed by free muscle transfer co-apted to both the CFNG and a masseter nerve for facial reanimation. Methods: A total of nine patients from August 2008-July 2011 were operated on with the double innervated gracilis muscle flap. Pre- and postoperative electromyography was documented, and video analysis with the five-stage classification of reanimation outcomes was performed. Results: All patients recovered voluntary and spontaneous smile abilities, with an average of 70% motor unit recruitment. Based on the Terzis reanimation outcome classification, four patients had an excellent result, four good, and one moderate. Conclusions: The double innervated gracilis muscle flap is a viable technique for the treatment of long-standing facial palsy. It enables a fast recovery with fast muscle activity, and allows an emotional smile and aesthetic symmetry.",6,Masseteric + CFNG,1,0,0,9,2,1,0,10.3109/2000656X.2014.988218,J Plast Surg Hand Surg. 2015 Jun;49(3):183-8. doi: 10.3109/2000656X.2014.988218. Epub 2014 Dec 3.,"Cardenas-Mejia A, Covarrubias-Ramirez JV, Bello-Margolis A, Rozen S.",2015,25469588,"Tools:Terzis' classification Outcomes:smile, motor unit recruitment, time to reinnervation, muscle function",9,2.195,,"Multiple nerve grafts:cross-facial,masseter nerve",,Double innervation,,,,,,
Pub-med,"End-to-side ""loop"" graft for total facial nerve reconstruction: Over 10 years experience","Background: Multiple-branch reconstruction is required in order to attain facial reanimation for extensive facial nerve defects. We previously reported that end-to-side nerve grafting, with the use of a single nerve graft for defect reconstruction, was easy to perform. We have also demonstrated the efficacy of end-to-side nerve suture of the recipient nerve to the donor graft nerve, in experimental rat models and clinical cases. The regenerating axons, which extended into the nerve graft, were ""distributed"" to multiple recipient nerves via end-to-side nerve-suture sites. Methods: Thirty-two patients who underwent facial nerve reconstruction (five to 10 branches) had a single sural nerve graft coapted to the proximal stump of the facial nerve in an end-to-end manner, followed by end-to-side nerve suture of the recipient nerve stumps to the side of the nerve graft. In 19 patients who were expected to undergo postoperative radiotherapy and/or chemotherapy, the distal end of the graft was connected to the side of the hypoglossal nerve for ""axonal supercharging,"" to enhance the recovery of the facial muscles. Results: Initial facial movements were noted at 5-12 months postoperatively, and good recovery (House-Brackmann grade III/IV) was observed during long-term follow-up in most patients. Conclusion: End-to-side nerve suture of the recipient nerve stumps to the nerve graft requires less graft nerve material and less technical mastery to reconstruct multiple branches of the facial nerve. We also described the concept of ""axonal supercharging,"" namely the connection of double-donor neural sources to the graft, and ""axonal distribution,"" namely the reinnervation of multiple recipient nerve stumps connected to the graft in an end-to-side manner. This combination of axonal supercharging and distribution can be a useful option in facial nerve reconstruction.",3,,0,0,1,7,8,3,0,10.1016/j.bjps.2015.04.005,J Plast Reconstr Aesthet Surg. 2015 Aug;68(8):1054-63. doi: 10.1016/j.bjps.2015.04.005. Epub 2015 Apr 20.,"Matsuda K, Kakibuchi M, Sotsuka Y, Kubo T, Shibata M, Hosokawa K.",2015,26002778,"Tools: HB scores , EMG Outcomes: facial movements, sykinesis, muscle tone  sural nerve",19,5,12,"Multiple nerve grafts:hypoglossal,Sural nerve graft",sural nerve,Hypoglossal nerve transfer,,,,,,
Pub-med,One-stage dual latissimus dorsi muscle flap transfer with a pair of vascular anastomoses and double nerve suturing for long-standing facial paralysis,"Objective: Various types of neurovascular free-muscle transfers have been reported as surgical treatments for long-standing facial paralysis. Among one-stage methods, two approaches, that is, latissimus dorsi transfer with nerve suturing to the contralateral facial nerve and gracilis transfer with nerve suturing to the ipsilateral masseteric nerve, have recently become popular. The former method has the advantage of making spontaneous smiling possible, but the contraction strength of the transferred muscle varies, whereas the latter approach has the advantage of guaranteeing voluntary contraction of the transferred muscle, but makes spontaneous smiling difficult. Recently, dual innervation methods have also been reported, but uncertainty remains about the utility of such approaches. To overcome these drawbacks, we devised a hybrid method combining the two previously established techniques. Methods: Two latissimus dorsi muscle flaps containing the thoracodorsal vessels from one side are transferred with a pair of vascular anastomoses. The true trunk of the thoracodorsal nerve, which innervates one of the muscle flaps, is sutured to the contralateral facial nerve, while the short branch of the thoracodorsal nerve, which innervates the other muscle flap, is sutured to the ipsilateral masseteric nerve. From November 2011 to October 2013, we used this method in four patients with long-standing facial paralysis. Results: Smiling was assessed in the three patients who were followed up for more than 1 year, and satisfactory results were obtained (Harii score: 4-5). In one patient, the movement mediated via the contralateral facial nerve was a little weak, but this was compensated for by the muscles controlled by the ipsilateral masseteric nerve. Conclusion: Our novel one-stage method, which involves a combination of two previously established methods, guarantees early voluntary smiling, and spontaneous smiling becomes possible later. In addition, it is free from the uncertainty associated with double innervation and does not require nerve grafts. So, stable results can be expected in most patients with long-standing facial paralysis.",6,"Masseteric + Thoracodorsal, CFNG + Thoracodorsal",1,0,0,9,4,1,0,10.1016/j.bjps.2015.02.013,J Plast Reconstr Aesthet Surg. 2015 Jun;68(6):e113-9. doi: 10.1016/j.bjps.2015.02.013. Epub 2015 Feb 21.,"Okazaki M, Kentaro T, Noriko U, Satoshi U, Tsutomu H, Alisa O, Mayuko H, Hiroki M.",2015,25819029,"Tools: clinical examination Outcome: smile,  movement, muscle tone LD flap",4,4,8,,,Double innervation,,,,,,
Pub-med,[Rehabilitation of facial paralysis using autogenous fascia lata graft. Stable results over time],"Dynamic facial reanimation with free muscle or nerve transfers represents the mainstay of facial paralysis treatments particularly for perioral area and smile. These techniques are not always feasible, in such cases we perform a perioral suspension with fascia lata graft. However many teams blame this technique for short-term recurrence of the deformity. We describe in this paper details of our surgical technique, to improve the aesthetic result and stability over time, and the results and complications encountered. Fascia lata graft was sutured beyond the midline to the contralateral healthy lips, after tunneling through upper and lower orbicularis oris. Fascia lata graft was then tunneled through the buccal fat pad, then under the zygomatic arch to the temporal region, where the temporal aponeurosis was incised to make way for the fascia lata graft, which was fixed to the outer face of the temporal aponeurosis, applying slight overcorrection to the oral commissure. From 2003 to 2012, we performed this procedure on 8 patients. Results showed an immediate aesthetic improvement, stable over time. Perioral suspension with fascia lata graft is a surgical alternative when dynamic reanimation is not feasible.",0,,2,3,0,9,4,1,0,10.1016/j.anplas.2015.05.009,Ann Chir Plast Esthet. 2015 Oct;60(5):442-7. doi: 10.1016/j.anplas.2015.05.009. Epub 2015 Jul 2.,"Graillon N, Colson T, Bardot J.",2015,26143047,"Tools:clinical evaluation  Outcomes:aesthethic improvement, functional improvement in phonation and mastication, nasal ventilation,symmetry,   fascia lata grafts",8,,,Multiple nerve grafts:nerve transfer,fascia lata grafts,no nerve transfer,,,"['Alt flap', 'Fascia flap']",Alt ,Fascia flap,
Pub-med,Intrinsic facial nerve tumours of the temporal bone: a proposed management guideline,"Objective: The aim of this paper was to propose a guideline for the management of intrinsic facial nerve tumours based on our practice and findings in the literature. Method: A retrospective review of intrinsic facial nerve tumours over the last 15 years was performed. Parameters measured included age, presenting symptoms, pre- and post-treatment hearing and House-Brackmann grading, tumour position, treatment and duration of follow up. Results: A total of 15 patients presented with intrinsic facial nerve tumours over the study period. The most common presenting complaint was facial symptoms (93.3 per cent), followed by hearing loss (46.7 per cent). Three patients with stable facial nerve function (House-Brackmann grades II-III) were treated conservatively. Twelve patients underwent surgery to treat progressive or recurrent symptoms. Facial function was maintained or improved in 60.0 per cent of patients and hearing was preserved in 66.7 per cent. Conclusion: We propose that all stable tumours associated with good facial function of grade III or below should be treated conservatively. For symptomatic or progressive lesions, tailored surgery depending on the tumour site and hearing level should be offered to preserve native nerve function and facial musculature. For patients with prolonged paralysis, tumours can be monitored and other forms of facial reanimation and support offered.",0,,0,0,9,7,8,3,0,10.1017/S0022215115000572,J Laryngol Otol. 2015 May;129(5):445-9. doi: 10.1017/S0022215115000572. Epub 2015 Mar 17.,"Watson GJ, Irving RM.",2015,25776565,"Tools: Histological analysis, HB sore Outcomes: facial msucles stregth, hearing loss, sensorineural hearing loss,  gold weight implant",15,,,,,no nerve transfer,,,,,,
Pub-med,Bidirectional/double fascia grafting for simple and semi-dynamic reconstruction of lower lip deformity in facial paralysis,"Background: For the total aesthetic reconstruction of facial paralysis, treatment of lower lip deformity as ""a neglected target in facial reanimation"" is important. Although various dynamic reconstruction approaches have been reported for lower lip deformity, these have not been popularly performed due to aggressive surgical invasiveness, long recovery time for reinnervation, and unstable outcomes. To reconstruct the lower lip deformity more simply but semi-dynamically, we modified bidirectional/double fascia grafting methods that have been established as simple and minimally invasive treatments for pediatric congenital lower lip paralysis. Methods: Between 2009 and 2011, nine patients were treated using this procedure alone or with combinations of other procedures of facial reanimation such as one-stage free muscle transfer. For outcome assessment, patients were evaluated using a lower lip paralysis grading system, including the objective aesthetics and functional results of the lower lip at rest (score range, 0-1), during smiling (score range, 0-4), and during mouth opening (score range, 0-2). Results: The mean total scores improved from 1.43 (poor) preoperatively to 5.71 (excellent) postoperatively. In all evaluation items, the postoperative scores improved significantly compared to the preoperative scores (p<0.01) with no severe complications. Conclusions: The procedure is simply applied to various types of extensive facial paralysis, as well as congenital lower lip paralysis in combination with other static and dynamic reconstruction methods for facial paralysis, and it is suggested that this approach significantly and semi-dynamically improves the aesthetic function of the lower lip at rest, during smiling, and during mouth opening.",0,,2,1,9,9,8,1,0,10.1016/j.bjps.2014.10.044,J Plast Reconstr Aesthet Surg. 2015 Mar;68(3):321-8. doi: 10.1016/j.bjps.2014.10.044. Epub 2014 Nov 12.,"Watanabe Y, Sasaki R, Agawa K, Akizuki T.",2015,25434708,"Tools: lower lip paralysis grading system, Evaluators Ratings Outcomes: transcient hypesthesia of the lower lip, thickening of the lower lip,aestethic of lower lip, facial fucntion,smile, symmetry",9,,,,,no nerve transfer,,,"['Alt flap', 'Fascia flap']",Alt ,Fascia flap,
Pub-med,The degree of facial movement following microvascular muscle transfer in pediatric facial reanimation depends on donor motor nerve axonal density,"Background: Free functional muscle transfer to the face is a standard of facial animation. The contralateral facial nerve, via a cross-face nerve graft, provides spontaneous innervation for the transferred muscle, but is not universally available and has additional shortcomings. The motor nerve to the masseter provides an alternative innervation source. In this study, the authors compared donor nerve histomorphometry and clinical outcomes in a single patient population undergoing free muscle transfer to the face. Methods: Pediatric patients undergoing dynamic facial (re-)animation with intraoperative nerve biopsies and gracilis transfer to the face powered by either the contralateral facial nerve via a cross-face nerve graft or the motor nerve to the masseter were reviewed over a 7-year period. Myelinated nerve counts were assessed histomorphometrically, and functional outcomes were evaluated with the Scaled Measurement of Improvement in Lip Excursion software. Results: From 2004 to 2011, 91 facial (re-)animation procedures satisfied study inclusion criteria. Average myelinated fiber counts were 6757 per mm2 in the donor facial nerve branch, 1647 per mm in the downstream cross-face nerve graft at the second stage, and 5289 per mm in the masseteric nerve. Reconstructions with either innervation source resulted in improvements in oral commissure excursion and smile symmetry, with the greatest amounts of oral commissure excursion noted in the masseteric nerve group. Conclusions: Facial (re-)animation procedures with use of the cross-face nerve graft or masseteric nerve are effective and result in symmetric smiles. The masseteric nerve provides a more robust innervation source and results in greater commissure excursion. Clinical question/level of evidence: Therapeutic, III.",4,,1,3,0,9,8,3,0,10.1097/PRS.0000000000000860,Plast Reconstr Surg. 2015 Feb;135(2):370e-381e. doi: 10.1097/PRS.0000000000000860.,"Snyder-Warwick AK, Fattah AY, Zive L, Halliday W, Borschel GH, Zuker RM.",2015,25626821,"histomorphometry, axon counts, Scaled Measurements of Improveemnt in Lip Excursion measurements",91,,,"Multiple nerve grafts:cross-face,masseteric nerve",,Cross-facial nerve transfer,Masseteric nerve transfer,,,,,
Pub-med,How to rehabilitate long-term facial paralysis,"Objective: To project the surgical resuscitation methods that we apply to the lower part of the face and the eyes with the aim of preventing functional and psychological problems that can occur in patients with facial paralysis. Materials and methods: Twenty-two patients with facial nerve paralysis due to acoustic neuroma, trauma, cholesteatoma, and parotid carcinoma were included in this study. In the lower facial region, the temporal muscle was suspended to the lower lip. In the upper facial region, eyelid gold implantation was performed. The reanimation results of the upper and lower facial regions were graded as excellent, good, fair, and poor in consideration of the symmetry after rest and smile according to May classification in the third month after the surgery. Results: The study group comprised 15 men (68.2%) and 5 women (31.8 %) (mean age, 63.82 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 14.18 years; range, 8-78 years). Of the patients, 18.2% (n = 4) had acoustic neuroma, 40.9% (n = 9) had facial trauma, 27.3% (n = 6) had cholesteatoma, and 13.6% (n = 3) had parotid carcinoma.Reanimation techniques were applied to 40.9% (n = 9) of the patients during the first 2-4 years, whereas 59.1% (n = 13) of patients underwent surgery after 4 years.In a total of 17 patients (77.3%) who had lower lip intervention, 4 patients (23.5%) had excellent results, 7 patients (41.2%) had good results, and 6 patients (35.3%) had moderate results.In the 22 patients who underwent the eyelid procedure, 5 patients (22.7 %) had excellent results, 13 patients (59.1 %) had good results, and 3 patients (18.2 %) had moderate results. Poor results were not observed in any patient. Conclusion: Facial paralysis is a disease that causes serious functional and psychological problems in patients. Therefore, the choice of treatment method is dependent on the etiology, duration of paralysis, expectations of the patient, and experience of the surgeon. Being less invasive methods, obtaining immediate results, requiring single surgical stage, and having long-lasting results and dynamic muscle transfer and static suspension methods are preferred.",0,,0,3,10,9,2,1,0,10.1097/SCS.0000000000001571,J Craniofac Surg. 2015 May;26(3):831-5. doi: 10.1097/SCS.0000000000001571.,"Kumral TL, Uyar Y, Berkiten G, Mutlu AT, Ata‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬∫ E, S‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†¬¥nnet‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬∫i G, Yildirim G.",2015,25915681,"Tools: May's classification ""eyelid gold"" implantation also performed Negative Outcomes: inflammation Positive Outcomes: symmetry, complete eye-closure",17,,,,,no nerve transfer,,,,,,
Pub-med,Epidemiologic Overview of Synkinesis in 353 Patients with Longstanding Facial Paralysis under Treatment with Botulinum Toxin for 11 Years,"Background: Patients with longstanding facial paralysis often exhibit synkinesis. Few reports describe the prevalence and factors related to the development of synkinesis after facial paralysis. Botulinum toxin type A injection is an important adjunct treatment for facial paralysis-induced asymmetry and synkinesis. The authors assessed the clinical and epidemiologic characteristics of patients with sequelae of facial paralysis treated with botulinum toxin type A injections to evaluate the prevalence of synkinesis and related factors. Methods: A total of 353 patients (age, 4 to 84 years; 245 female patients) with longstanding facial paralysis underwent 2312 botulinum toxin type A injections during an 11-year follow-up. Doses used over the years, previous treatments (electrical stimulation, operations), and how they correlated to postparalysis and postreanimation synkinesis were analyzed. Results: There was a significant association between cause and surgery. Most patients with facial paralysis caused by a congenital defect, trauma, or a tumor underwent reanimation. There were no sex- or synkinesis-related differences in the doses used, but the doses were higher in the reanimation group than in the no-surgery group. Synkinesis was found in 196 patients; 148 (41.9 percent) presented with postparalysis synkinesis (oro-ocular, oculo-oral) and 58 (16.4 percent) presented with postreanimation synkinesis. Ten patients presented with both types. Conclusions: This study determined the high prevalence (55.5 percent) of synkinesis in patients with longstanding facial paralysis. Postparalysis synkinesis was positively associated with infectious and idiopathic causes, electrical stimulation, facial nerve decompression, and no requirement for surgery. Postreanimation synkinesis was present in 28.2 percent of reanimated patients and was significantly associated with microsurgical flaps, transfacial nerve grafting, masseteric-facial anastomosis, and temporalis muscle transfers.",4,,0,1,1,0,4,1,1,10.1097/PRS.0000000000001802,Plast Reconstr Surg. 2015 Dec;136(6):1289-1298. doi: 10.1097/PRS.0000000000001802.,"Salles AG, da Costa EF, Ferreira MC, do Nascimento Remigio AF, Moraes LB, Gemperli R.",2015,26595022,,196,,,"Other type of nerve graft: masseteric, cross facial ",,Masseteric nerve transfer,Cross-facial nerve transfer,,,,,
Pub-med,Lengthening temporalis myoplasty and facial paralysis from birth,"Introduction: Congenital facial paralysis (FP) is present from birth. It can produce major esthetic and functional disorders. It can be from two different etiologies: developmental and acquired. There is no curative treatment for congenital FP and the aim for the plastic surgeon is to restore a smile as symmetrical and as dynamic as possible. For this, two opposite techniques can be used: muscular free flaps and locoregional flaps whose lengthening temporalis myoplasty. Materiel and methods: We report our series of 34 congenital FP patients who were operated by lengthening temporalis myoplasty (LTM). We divided the patients into three categories: acquired FP (11 cases), isolated developmental FP (13 cases), and syndromic developmental FP (10 cases). The evaluation of the smile is based on the quality of the commissural course compared to the healthy side and the spontaneity of it. Results: In the acquired FP group, 100% obtained a spontaneous smile with a postoperative delay of 9.5 months, 12 of the 13 cases of isolated developmental FP (92.7%) after 7.3 months postoperatively, and finally, in the 10 cases of syndromic FP, nine (90%) had a spontaneous smile after 9.7 months. Discussion: Muscular free flaps continue to be the gold standard for the reanimation of smile on the FP. To our knowledge, no articles comparing smile restoration using free flap and smile restoration using LTM exist. A comparison of the success rates from different studies shows that both these techniques yield good results and can be used for smile restoration in FP. This technique is faster and easier than a free flap and has a same result, which is why we consider this technique as a reference on smile reanimation in FP.",0,,2,1,5,2,4,1,0,10.1016/j.bjps.2014.10.039,J Plast Reconstr Aesthet Surg. 2015 Mar;68(3):312-20. doi: 10.1016/j.bjps.2014.10.039. Epub 2014 Oct 30.,"Veyssi‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚àö√úre A, Labb‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬© D, B‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬©nateau H.",2015,25465143,,34,7,9,,,no nerve transfer,,,['Alt flap'],Alt ,,
Pub-med,Facial paralysis grading system: a new and simple smile excursion score for evaluating facial reanimation surgery,"Background: Various facial paralysis grading systems have been introduced to evaluate the results of both spontaneous recovery and facial palsy reconstruction. The aim of the present study was to introduce and evaluate an objective new and quick Smile Excursion Score system which is readily applicable and easy to follow. It has been applied over the past 25 years for preoperative and postoperative result evaluation of smile reconstruction at Chang Gung Memorial Hospital. Methods: A standardized evaluation method was described for the assessment of the upper lip movement preoperatively and postoperatively with at least 1 year follow-up after functioning muscle transplantation. The evaluation was scored by the number of maxillary teeth exposed when smiling with teeth showing. Reliability of this technique was assessed by using 3 independent examiners who each evaluated the smiles of 34 unilateral facial paralysis patients 4 times, creating 408 sets of measurements. Results: The intraclass correlation coefficients for interrater and intrarater reliability exceeded 0.94, which is considered as excellent and reliable. Conclusions: Chuang's Smile Excursion Score system is simple, quick, and accurate in evaluating smile after reanimation of paralyzed face effecting free functional muscle transplantation with no additional tools.",0,,2,0,10,5,2,1,0,10.1097/SAP.0b013e318295dec2,Ann Plast Surg. 2015 Feb;74(2):210-3. doi: 10.1097/SAP.0b013e318295dec2.,"Tzou CH, Chuang DC, Chen HH.",2015,23872963,PO: intraclass correlation coefficients for interrater and intrarater reliability NO: scale only focuses on mouth region,34,,,,,no nerve transfer,,,gracilis,Pectoralis minor ,serratus anterior,rectus femoris
